inst#,actual,predicted,error,prediction
196,2:1,2:1,,0.965
197,1:0,1:0,,0.628
198,2:1,2:1,,1
199,2:1,2:1,,1
200,2:1,2:1,,1
201,1:0,2:1,+,1
202,1:0,2:1,+,0.692
203,1:0,2:1,+,0.834
204,2:1,2:1,,1
205,2:1,1:0,+,0.598
206,1:0,1:0,,0.634
207,2:1,1:0,+,0.505
208,2:1,2:1,,0.573
209,2:1,1:0,+,1
210,1:0,2:1,+,1
211,1:0,2:1,+,1
212,1:0,2:1,+,0.998
213,1:0,2:1,+,1
214,1:0,1:0,,0.6
215,2:1,1:0,+,0.679
216,1:0,2:1,+,0.509
217,1:0,1:0,,1
218,1:0,1:0,,0.869
219,2:1,2:1,,1
220,1:0,1:0,,0.902
221,2:1,2:1,,0.647
222,1:0,1:0,,1
223,1:0,1:0,,0.59
224,1:0,2:1,+,1
225,2:1,1:0,+,0.997
226,2:1,2:1,,0.505
227,1:0,2:1,+,0.619
228,1:0,1:0,,0.601
229,1:0,1:0,,0.714
230,2:1,2:1,,0.504
231,2:1,1:0,+,1
232,2:1,1:0,+,0.772
233,2:1,1:0,+,0.623
234,2:1,2:1,,0.759
235,1:0,1:0,,0.628
236,1:0,1:0,,0.81
237,2:1,1:0,+,0.623
238,2:1,1:0,+,1
239,1:0,2:1,+,0.576
240,1:0,1:0,,0.999
241,2:1,1:0,+,0.562
242,1:0,2:1,+,0.749

