inst#,actual,predicted,error,prediction
138,1:0,1:0,,0.59
139,1:0,2:1,+,0.75
140,2:1,1:0,+,0.869
141,2:1,1:0,+,0.618
142,1:0,2:1,+,0.704
143,2:1,1:0,+,0.83
144,2:1,2:1,,0.556
145,1:0,1:0,,0.511
146,1:0,2:1,+,0.665
147,1:0,1:0,,0.841
148,1:0,2:1,+,0.91
149,2:1,1:0,+,0.826
150,1:0,1:0,,0.69
151,2:1,2:1,,0.54
152,1:0,1:0,,0.919
153,1:0,1:0,,0.63
154,1:0,1:0,,0.67
155,1:0,1:0,,0.94
156,2:1,1:0,+,0.603
157,1:0,1:0,,0.928
158,2:1,2:1,,0.8
159,2:1,2:1,,0.69
160,2:1,1:0,+,0.79
161,1:0,1:0,,0.597
162,2:1,1:0,+,0.585
163,1:0,2:1,+,0.92
164,2:1,2:1,,0.92
165,1:0,1:0,,0.75
166,1:0,1:0,,0.592
167,1:0,2:1,+,0.675
168,2:1,1:0,+,0.61
169,1:0,1:0,,0.643
170,2:1,1:0,+,0.546
171,1:0,1:0,,0.53
172,1:0,1:0,,0.548
173,1:0,1:0,,0.603
174,1:0,1:0,,0.59
175,1:0,1:0,,0.67
176,1:0,1:0,,0.573
177,2:1,2:1,,0.738
178,1:0,2:1,+,0.542
179,1:0,1:0,,0.63
180,1:0,1:0,,0.64
181,1:0,1:0,,0.928
182,2:1,1:0,+,0.79
183,1:0,2:1,+,0.59
184,2:1,2:1,,0.8
185,1:0,1:0,,0.542
186,1:0,1:0,,0.85
187,1:0,1:0,,0.757
188,2:1,1:0,+,0.71
189,1:0,1:0,,0.577
190,1:0,1:0,,0.66
191,2:1,2:1,,0.655
192,2:1,1:0,+,0.59
193,1:0,2:1,+,0.63
194,1:0,2:1,+,0.79
195,1:0,1:0,,0.547
196,2:1,2:1,,0.65
197,1:0,1:0,,0.846
198,2:1,1:0,+,0.721
199,2:1,1:0,+,0.502
200,2:1,1:0,+,0.666
201,1:0,2:1,+,0.527
202,1:0,2:1,+,0.744
203,1:0,2:1,+,0.59
204,2:1,2:1,,0.504
205,2:1,1:0,+,0.601
206,1:0,1:0,,0.691
207,2:1,1:0,+,0.546
208,2:1,1:0,+,0.938
209,2:1,2:1,,0.61
210,1:0,1:0,,0.71
211,1:0,1:0,,0.611
212,1:0,1:0,,0.511
213,1:0,1:0,,0.558
214,1:0,1:0,,0.577
215,2:1,1:0,+,0.705
216,1:0,1:0,,0.674
217,1:0,1:0,,0.75
218,1:0,1:0,,0.855
219,2:1,2:1,,0.927
220,1:0,2:1,+,0.576
221,2:1,2:1,,0.552
222,1:0,1:0,,0.7
223,1:0,1:0,,0.633
224,1:0,2:1,+,0.664
225,2:1,1:0,+,0.75
226,2:1,2:1,,0.55
227,1:0,2:1,+,0.72
228,1:0,1:0,,0.817
229,1:0,1:0,,0.807
230,2:1,2:1,,0.893
231,2:1,1:0,+,0.513
232,2:1,1:0,+,0.809
233,2:1,1:0,+,0.59
234,2:1,2:1,,0.574
235,1:0,1:0,,0.693
236,1:0,1:0,,0.728
237,2:1,1:0,+,0.59
238,2:1,1:0,+,0.713
239,1:0,1:0,,0.856
240,1:0,1:0,,0.557
241,2:1,1:0,+,0.516
242,1:0,2:1,+,0.56

