inst#,actual,predicted,error,prediction
204,1:0,1:0,,0.633
205,1:0,1:0,,0.557
206,1:0,1:0,,0.737
207,1:0,1:0,,0.595
208,1:0,2:1,+,0.528
209,1:0,1:0,,0.61
210,1:0,1:0,,0.582
211,1:0,1:0,,0.596
212,1:0,1:0,,0.691
213,1:0,1:0,,0.691
214,1:0,1:0,,0.661
215,1:0,1:0,,0.598
216,1:0,1:0,,0.543
217,1:0,1:0,,0.617
218,1:0,1:0,,0.514
219,1:0,1:0,,0.611
220,1:0,1:0,,0.601
221,1:0,1:0,,0.614
222,1:0,2:1,+,0.505
223,1:0,1:0,,0.599
224,1:0,1:0,,0.601
225,1:0,1:0,,0.63
226,1:0,2:1,+,0.514
227,1:0,1:0,,0.589
228,1:0,1:0,,0.589
229,1:0,1:0,,0.529
230,1:0,1:0,,0.554
231,1:0,2:1,+,0.554
232,1:0,1:0,,0.641
233,1:0,1:0,,0.62
234,1:0,1:0,,0.542
235,1:0,1:0,,0.718
236,1:0,1:0,,0.619
237,1:0,1:0,,0.694
238,1:0,1:0,,0.619
239,1:0,1:0,,0.535
240,1:0,1:0,,0.706
241,1:0,1:0,,0.693
242,1:0,2:1,+,0.629
243,1:0,1:0,,0.765
244,1:0,1:0,,0.638
245,1:0,1:0,,0.669
246,1:0,1:0,,0.639
247,1:0,1:0,,0.686
248,1:0,1:0,,0.566
249,1:0,1:0,,0.616
250,1:0,1:0,,0.61
251,1:0,2:1,+,0.518
252,1:0,1:0,,0.756
253,1:0,1:0,,0.691
254,1:0,1:0,,0.588
255,1:0,2:1,+,0.606
256,1:0,1:0,,0.565
257,1:0,1:0,,0.673
258,1:0,2:1,+,0.513
259,1:0,1:0,,0.663
260,1:0,1:0,,0.545
261,1:0,1:0,,0.595
262,1:0,1:0,,0.58
263,1:0,2:1,+,0.52
264,1:0,2:1,+,0.59
265,1:0,1:0,,0.567
266,1:0,1:0,,0.679
267,1:0,1:0,,0.624
268,1:0,1:0,,0.567
269,1:0,1:0,,0.648
270,1:0,1:0,,0.542
271,1:0,1:0,,0.602
272,1:0,1:0,,0.608
273,1:0,1:0,,0.629
274,1:0,1:0,,0.523
275,1:0,1:0,,0.612
276,1:0,1:0,,0.628
277,1:0,1:0,,0.748
278,1:0,1:0,,0.552
279,1:0,2:1,+,0.51
280,1:0,1:0,,0.597
281,1:0,1:0,,0.593
282,1:0,1:0,,0.549
283,1:0,1:0,,0.517
284,1:0,1:0,,0.648
285,1:0,2:1,+,0.705
286,1:0,1:0,,0.602
287,1:0,1:0,,0.728
288,1:0,1:0,,0.588
289,1:0,1:0,,0.618
290,1:0,1:0,,0.598
291,1:0,2:1,+,0.528
292,1:0,1:0,,0.541
293,1:0,1:0,,0.555
294,1:0,1:0,,0.634
295,1:0,1:0,,0.666
296,1:0,1:0,,0.582
297,1:0,1:0,,0.61
298,1:0,1:0,,0.693
299,1:0,2:1,+,0.656
300,1:0,2:1,+,0.506
301,1:0,1:0,,0.629
302,1:0,1:0,,0.6
303,1:0,1:0,,0.693
304,1:0,1:0,,0.587
305,1:0,1:0,,0.573
306,1:0,1:0,,0.667
307,1:0,2:1,+,0.527
308,1:0,1:0,,0.584
309,1:0,2:1,+,0.697
310,1:0,1:0,,0.547
311,1:0,1:0,,0.624
312,1:0,1:0,,0.718
313,1:0,1:0,,0.606
314,1:0,1:0,,0.6
315,1:0,1:0,,0.598
316,1:0,1:0,,0.629
317,1:0,2:1,+,0.521
318,1:0,1:0,,0.625
319,1:0,1:0,,0.693
320,1:0,1:0,,0.513
321,1:0,1:0,,0.675
322,1:0,1:0,,0.594
323,1:0,1:0,,0.587
324,1:0,1:0,,0.613
325,1:0,2:1,+,0.537
326,1:0,2:1,+,0.534
327,1:0,1:0,,0.517
328,1:0,1:0,,0.54
329,1:0,1:0,,0.63
330,1:0,1:0,,0.667
331,1:0,2:1,+,0.599
332,1:0,1:0,,0.606
333,1:0,1:0,,0.617
334,1:0,1:0,,0.656
335,1:0,1:0,,0.582
336,1:0,2:1,+,0.528
337,1:0,1:0,,0.528
338,1:0,1:0,,0.57
339,1:0,1:0,,0.57
340,1:0,2:1,+,0.589
341,1:0,2:1,+,0.525
342,1:0,1:0,,0.669
343,1:0,1:0,,0.663
344,1:0,1:0,,0.683
345,1:0,1:0,,0.595
346,1:0,1:0,,0.567
347,1:0,1:0,,0.546
348,1:0,1:0,,0.546
349,1:0,1:0,,0.535
350,1:0,1:0,,0.643
351,1:0,1:0,,0.613
352,1:0,1:0,,0.659
353,1:0,1:0,,0.753
354,1:0,1:0,,0.618
355,1:0,1:0,,0.626
356,1:0,1:0,,0.576
357,1:0,1:0,,0.535
358,1:0,1:0,,0.64
359,1:0,1:0,,0.575
360,1:0,1:0,,0.59
361,1:0,1:0,,0.629
362,1:0,1:0,,0.529
363,1:0,1:0,,0.656
364,1:0,1:0,,0.546
365,1:0,1:0,,0.675
366,1:0,1:0,,0.722
367,1:0,1:0,,0.598
368,1:0,1:0,,0.569
369,1:0,1:0,,0.585
370,1:0,1:0,,0.598
371,1:0,1:0,,0.743
372,1:0,1:0,,0.593
373,1:0,1:0,,0.625
374,1:0,1:0,,0.598
375,1:0,1:0,,0.602
376,1:0,1:0,,0.679
377,1:0,1:0,,0.642
378,1:0,1:0,,0.534
379,1:0,1:0,,0.595
380,1:0,1:0,,0.625
381,1:0,1:0,,0.51
382,1:0,1:0,,0.615
383,1:0,1:0,,0.637
384,1:0,1:0,,0.651
385,1:0,1:0,,0.535
386,1:0,1:0,,0.612
387,1:0,1:0,,0.607
388,1:0,1:0,,0.576
389,1:0,1:0,,0.642
390,1:0,1:0,,0.67
391,1:0,1:0,,0.648
392,1:0,1:0,,0.569
393,1:0,1:0,,0.544
394,1:0,1:0,,0.708
395,1:0,1:0,,0.601
396,1:0,1:0,,0.514
397,1:0,1:0,,0.615
398,1:0,1:0,,0.626
399,1:0,2:1,+,0.506
400,1:0,2:1,+,0.513
401,1:0,1:0,,0.624
402,1:0,2:1,+,0.59
403,1:0,1:0,,0.712
404,1:0,1:0,,0.598
405,1:0,1:0,,0.549
406,1:0,2:1,+,0.511
407,1:0,1:0,,0.712
408,1:0,1:0,,0.623
409,1:0,1:0,,0.665
410,1:0,2:1,+,0.506
411,1:0,1:0,,0.52
412,1:0,1:0,,0.516
413,1:0,1:0,,0.604
414,1:0,1:0,,0.573
415,1:0,1:0,,0.501
416,1:0,1:0,,0.672
417,1:0,1:0,,0.676
418,1:0,1:0,,0.52
419,1:0,1:0,,0.642
420,1:0,2:1,+,0.506
421,1:0,1:0,,0.61
422,1:0,1:0,,0.605
423,1:0,1:0,,0.517
424,1:0,1:0,,0.81
425,1:0,1:0,,0.61
426,1:0,1:0,,0.592
427,1:0,1:0,,0.598
428,1:0,1:0,,0.65
429,1:0,1:0,,0.56
430,1:0,2:1,+,0.528
431,1:0,1:0,,0.713
432,1:0,1:0,,0.609
433,1:0,1:0,,0.606
434,1:0,1:0,,0.588
435,1:0,1:0,,0.595
436,1:0,1:0,,0.583
437,1:0,1:0,,0.607
438,1:0,1:0,,0.635
439,1:0,1:0,,0.551
440,1:0,1:0,,0.569
441,1:0,1:0,,0.517
442,1:0,1:0,,0.734
443,1:0,1:0,,0.545
444,1:0,1:0,,0.544
445,1:0,1:0,,0.636
446,1:0,2:1,+,0.522
447,1:0,1:0,,0.675
448,1:0,2:1,+,0.521
449,1:0,1:0,,0.552
450,1:0,1:0,,0.663
451,1:0,2:1,+,0.53
452,1:0,1:0,,0.569
453,1:0,1:0,,0.62
454,1:0,1:0,,0.53
455,1:0,1:0,,0.674
456,1:0,1:0,,0.658
457,1:0,1:0,,0.63
458,1:0,1:0,,0.602
459,1:0,2:1,+,0.51
460,1:0,1:0,,0.633
461,1:0,1:0,,0.663
462,1:0,1:0,,0.789
463,1:0,1:0,,0.628
464,1:0,1:0,,0.659
465,1:0,1:0,,0.626
466,1:0,1:0,,0.584
467,1:0,1:0,,0.669
468,1:0,1:0,,0.53
469,1:0,1:0,,0.627
470,1:0,2:1,+,0.525
471,1:0,1:0,,0.577
472,1:0,1:0,,0.545
473,1:0,1:0,,0.728
474,1:0,2:1,+,0.532
475,1:0,1:0,,0.636
476,1:0,2:1,+,0.513
477,1:0,2:1,+,0.507
478,1:0,1:0,,0.597
479,1:0,1:0,,0.604
480,1:0,1:0,,0.685
481,1:0,1:0,,0.589
482,1:0,1:0,,0.62
483,1:0,1:0,,0.575
484,1:0,2:1,+,0.558
485,1:0,1:0,,0.598
486,1:0,1:0,,0.706
487,1:0,1:0,,0.664
488,1:0,1:0,,0.697
489,1:0,1:0,,0.546
490,1:0,2:1,+,0.5
491,1:0,1:0,,0.569
492,1:0,1:0,,0.594
493,1:0,1:0,,0.619
494,1:0,1:0,,0.641
495,1:0,1:0,,0.593
496,1:0,1:0,,0.507
497,1:0,1:0,,0.701
498,1:0,1:0,,0.505
499,1:0,1:0,,0.595
500,1:0,1:0,,0.604
501,1:0,1:0,,0.698
502,1:0,1:0,,0.649
503,1:0,1:0,,0.79
504,1:0,2:1,+,0.61
505,1:0,1:0,,0.579
506,1:0,1:0,,0.566
507,1:0,1:0,,0.662
508,1:0,1:0,,0.634
509,1:0,1:0,,0.656
510,1:0,1:0,,0.63
511,1:0,1:0,,0.574
512,1:0,1:0,,0.525
513,1:0,1:0,,0.638
514,1:0,1:0,,0.602
515,1:0,1:0,,0.552
516,1:0,2:1,+,0.515
517,1:0,1:0,,0.614
518,1:0,2:1,+,0.51
519,1:0,1:0,,0.647
520,1:0,1:0,,0.522
521,1:0,1:0,,0.575
522,1:0,2:1,+,0.574
523,1:0,1:0,,0.526
524,1:0,1:0,,0.606
525,1:0,1:0,,0.581
526,1:0,1:0,,0.677
527,1:0,1:0,,0.654
528,1:0,1:0,,0.578
529,1:0,1:0,,0.625
530,1:0,1:0,,0.657
531,1:0,1:0,,0.588
532,1:0,1:0,,0.658
533,1:0,1:0,,0.61
534,1:0,1:0,,0.597
535,1:0,1:0,,0.61
536,1:0,1:0,,0.669
537,1:0,1:0,,0.58
538,1:0,1:0,,0.543
539,1:0,1:0,,0.597
540,1:0,2:1,+,0.534
541,1:0,1:0,,0.562
542,1:0,1:0,,0.666
543,1:0,2:1,+,0.517
544,1:0,1:0,,0.521
545,1:0,1:0,,0.532
546,1:0,2:1,+,0.517
547,1:0,1:0,,0.63
548,1:0,1:0,,0.652
549,1:0,1:0,,0.586
550,1:0,1:0,,0.563
551,1:0,2:1,+,0.55
552,1:0,2:1,+,0.569
553,1:0,1:0,,0.653
554,1:0,1:0,,0.622
555,1:0,1:0,,0.649
556,1:0,1:0,,0.622
557,1:0,1:0,,0.609
558,1:0,1:0,,0.717
559,1:0,1:0,,0.561
560,1:0,1:0,,0.669
561,1:0,1:0,,0.569
562,1:0,1:0,,0.727
563,1:0,1:0,,0.52
564,1:0,1:0,,0.644
565,1:0,2:1,+,0.58
566,1:0,1:0,,0.62
567,1:0,1:0,,0.609
568,1:0,1:0,,0.698
569,1:0,1:0,,0.682
570,1:0,2:1,+,0.56
571,1:0,1:0,,0.545
572,1:0,2:1,+,0.505
573,1:0,1:0,,0.664
574,1:0,1:0,,0.621
575,1:0,1:0,,0.626
576,1:0,1:0,,0.543
577,1:0,1:0,,0.549
578,1:0,1:0,,0.744
579,1:0,1:0,,0.637
580,1:0,2:1,+,0.536
581,1:0,1:0,,0.598
582,1:0,1:0,,0.615
583,1:0,1:0,,0.635
584,1:0,1:0,,0.542
585,1:0,1:0,,0.606
586,1:0,1:0,,0.505
587,1:0,1:0,,0.661
588,1:0,2:1,+,0.547
589,1:0,1:0,,0.639
590,1:0,1:0,,0.679
591,1:0,1:0,,0.613
592,1:0,1:0,,0.738
593,1:0,1:0,,0.606
594,1:0,1:0,,0.642
595,1:0,1:0,,0.718
596,1:0,2:1,+,0.632
597,1:0,1:0,,0.58
598,1:0,1:0,,0.643
599,1:0,1:0,,0.534
600,1:0,1:0,,0.614
601,1:0,1:0,,0.621
602,1:0,1:0,,0.556
603,1:0,1:0,,0.614
604,1:0,1:0,,0.504
605,1:0,1:0,,0.617
606,1:0,1:0,,0.634
607,1:0,1:0,,0.546
608,1:0,2:1,+,0.54
609,1:0,1:0,,0.705
610,1:0,1:0,,0.51
611,1:0,2:1,+,0.544
612,1:0,1:0,,0.551
613,1:0,1:0,,0.516
614,1:0,2:1,+,0.578
615,1:0,1:0,,0.56
616,1:0,1:0,,0.663
617,1:0,1:0,,0.567
618,1:0,1:0,,0.691
619,1:0,1:0,,0.68
620,1:0,1:0,,0.631
621,1:0,1:0,,0.691
622,1:0,1:0,,0.582
623,1:0,1:0,,0.588
624,1:0,2:1,+,0.522
625,1:0,1:0,,0.634
626,1:0,1:0,,0.598
627,1:0,1:0,,0.566
628,1:0,1:0,,0.568
629,1:0,1:0,,0.675
630,1:0,2:1,+,0.541
631,1:0,1:0,,0.571
632,1:0,1:0,,0.683
633,1:0,2:1,+,0.52
634,1:0,1:0,,0.552
635,1:0,1:0,,0.544
636,1:0,1:0,,0.625
637,1:0,1:0,,0.553
638,1:0,2:1,+,0.518
639,1:0,1:0,,0.587
640,1:0,2:1,+,0.508
641,1:0,1:0,,0.569
642,1:0,2:1,+,0.504
643,1:0,1:0,,0.576
644,1:0,1:0,,0.598
645,1:0,1:0,,0.673
646,1:0,1:0,,0.598
647,1:0,1:0,,0.619
648,1:0,1:0,,0.781
649,1:0,1:0,,0.592
650,1:0,2:1,+,0.51
651,1:0,2:1,+,0.595
652,1:0,2:1,+,0.51
653,1:0,1:0,,0.587
654,1:0,1:0,,0.655
655,1:0,1:0,,0.511
656,1:0,1:0,,0.547
657,1:0,1:0,,0.573
658,1:0,1:0,,0.542
659,1:0,1:0,,0.598
660,1:0,1:0,,0.565
661,1:0,2:1,+,0.528
662,1:0,1:0,,0.607
663,1:0,1:0,,0.647
664,1:0,1:0,,0.737
665,1:0,1:0,,0.598
666,1:0,2:1,+,0.573
667,1:0,1:0,,0.594
668,1:0,1:0,,0.598
669,1:0,1:0,,0.682
670,1:0,1:0,,0.68
671,1:0,1:0,,0.643
672,1:0,2:1,+,0.53
673,1:0,1:0,,0.619
674,1:0,1:0,,0.568
675,1:0,1:0,,0.609
676,1:0,1:0,,0.596
677,1:0,1:0,,0.544
678,1:0,1:0,,0.67
679,1:0,1:0,,0.559
680,1:0,2:1,+,0.508
681,1:0,1:0,,0.687
682,1:0,1:0,,0.556
683,1:0,1:0,,0.504
684,1:0,1:0,,0.599
685,1:0,1:0,,0.718
686,1:0,1:0,,0.599
687,1:0,1:0,,0.629
688,1:0,1:0,,0.657
689,1:0,1:0,,0.543
690,1:0,1:0,,0.701
691,1:0,1:0,,0.598
692,1:0,1:0,,0.557
693,1:0,1:0,,0.61
694,1:0,1:0,,0.598
695,1:0,1:0,,0.532
696,1:0,1:0,,0.647
697,1:0,1:0,,0.596
698,1:0,1:0,,0.538
699,1:0,1:0,,0.688
700,1:0,2:1,+,0.54
701,1:0,1:0,,0.637
702,1:0,1:0,,0.61
703,1:0,1:0,,0.632
704,1:0,2:1,+,0.64
705,1:0,1:0,,0.52
706,1:0,1:0,,0.59
707,1:0,2:1,+,0.51
708,1:0,1:0,,0.565
709,1:0,1:0,,0.684
710,1:0,1:0,,0.708
711,1:0,1:0,,0.656
712,1:0,1:0,,0.606
713,1:0,1:0,,0.622
714,1:0,1:0,,0.593
715,1:0,1:0,,0.593
716,1:0,1:0,,0.549
717,1:0,1:0,,0.659
718,1:0,1:0,,0.632
719,1:0,1:0,,0.583
720,1:0,1:0,,0.503
721,1:0,1:0,,0.601
722,1:0,1:0,,0.627
723,1:0,1:0,,0.681
724,1:0,1:0,,0.502
725,1:0,1:0,,0.57
726,1:0,1:0,,0.619
727,1:0,1:0,,0.697
728,1:0,1:0,,0.566
729,1:0,1:0,,0.623
730,1:0,1:0,,0.598
731,1:0,2:1,+,0.505
732,1:0,1:0,,0.641
733,1:0,1:0,,0.759
734,1:0,1:0,,0.564
735,1:0,1:0,,0.613
736,1:0,1:0,,0.598
737,1:0,1:0,,0.54
738,1:0,2:1,+,0.505
739,1:0,1:0,,0.676
740,1:0,1:0,,0.586
741,1:0,1:0,,0.547
742,1:0,1:0,,0.598
743,1:0,1:0,,0.6
744,1:0,1:0,,0.666
745,1:0,1:0,,0.598
746,1:0,1:0,,0.571
747,1:0,1:0,,0.603
748,1:0,1:0,,0.617
749,1:0,2:1,+,0.513
750,1:0,1:0,,0.595
751,1:0,1:0,,0.621
752,1:0,1:0,,0.514
753,1:0,1:0,,0.663
754,1:0,1:0,,0.61
755,1:0,1:0,,0.603
756,1:0,1:0,,0.614
757,1:0,1:0,,0.595
758,1:0,1:0,,0.564
759,1:0,1:0,,0.622
760,1:0,1:0,,0.627
761,1:0,1:0,,0.62
762,1:0,1:0,,0.614
763,1:0,2:1,+,0.536
764,1:0,1:0,,0.689
765,1:0,1:0,,0.677
766,1:0,1:0,,0.718
767,1:0,2:1,+,0.501
768,1:0,1:0,,0.533
769,1:0,1:0,,0.546
770,1:0,1:0,,0.601
771,1:0,1:0,,0.586
772,1:0,1:0,,0.569
773,1:0,1:0,,0.561
774,1:0,1:0,,0.665
775,1:0,1:0,,0.614
776,1:0,1:0,,0.558
777,1:0,1:0,,0.68
778,1:0,1:0,,0.719
779,1:0,1:0,,0.538
780,1:0,1:0,,0.564
781,1:0,1:0,,0.813
782,1:0,1:0,,0.632
783,1:0,1:0,,0.602
784,1:0,1:0,,0.636
785,1:0,1:0,,0.696
786,1:0,1:0,,0.674
787,2:1,1:0,+,0.694
788,1:0,1:0,,0.698
789,1:0,1:0,,0.566
790,1:0,1:0,,0.613
791,1:0,2:1,+,0.522
792,1:0,1:0,,0.506
793,1:0,1:0,,0.55
794,1:0,1:0,,0.681
795,1:0,1:0,,0.596
796,1:0,1:0,,0.527
797,1:0,1:0,,0.543
798,1:0,2:1,+,0.521
799,1:0,1:0,,0.556
800,1:0,1:0,,0.541
801,1:0,1:0,,0.635
802,1:0,1:0,,0.561
803,1:0,1:0,,0.688
804,1:0,1:0,,0.742
805,1:0,1:0,,0.623
806,1:0,1:0,,0.626
807,1:0,1:0,,0.605
808,1:0,1:0,,0.669
809,1:0,1:0,,0.72
810,1:0,1:0,,0.546
811,1:0,1:0,,0.604
812,1:0,2:1,+,0.501
813,1:0,1:0,,0.68
814,1:0,1:0,,0.774
815,1:0,1:0,,0.706
816,1:0,1:0,,0.668
817,1:0,2:1,+,0.628
818,1:0,1:0,,0.578
819,1:0,1:0,,0.609
820,1:0,1:0,,0.55
821,1:0,1:0,,0.593
822,1:0,1:0,,0.663
823,1:0,1:0,,0.672
824,1:0,2:1,+,0.535
825,1:0,1:0,,0.505
826,1:0,1:0,,0.679
827,1:0,1:0,,0.731
828,1:0,1:0,,0.59
829,1:0,1:0,,0.521
830,1:0,1:0,,0.586
831,1:0,2:1,+,0.55
832,1:0,1:0,,0.794
833,1:0,1:0,,0.519
834,1:0,1:0,,0.672
835,1:0,1:0,,0.523
836,1:0,2:1,+,0.656
837,1:0,1:0,,0.615
838,1:0,1:0,,0.688
839,1:0,1:0,,0.725
840,1:0,1:0,,0.656
841,1:0,1:0,,0.517
842,1:0,1:0,,0.615
843,1:0,1:0,,0.658
844,1:0,2:1,+,0.513
845,1:0,1:0,,0.511
846,1:0,1:0,,0.626
847,1:0,1:0,,0.603
848,1:0,2:1,+,0.554
849,1:0,2:1,+,0.568
850,1:0,1:0,,0.69
851,1:0,1:0,,0.781
852,1:0,2:1,+,0.7
853,1:0,1:0,,0.503
854,1:0,1:0,,0.53
855,1:0,1:0,,0.601
856,1:0,1:0,,0.545
857,1:0,2:1,+,0.547
858,1:0,1:0,,0.524
859,1:0,1:0,,0.649
860,1:0,1:0,,0.637
861,1:0,1:0,,0.602
862,1:0,1:0,,0.614
863,1:0,1:0,,0.629
864,1:0,1:0,,0.521
865,1:0,1:0,,0.53
866,1:0,1:0,,0.634
867,1:0,1:0,,0.585
868,1:0,1:0,,0.67
869,1:0,1:0,,0.625
870,1:0,1:0,,0.607
871,1:0,1:0,,0.56
872,1:0,2:1,+,0.53
873,1:0,2:1,+,0.563
874,1:0,1:0,,0.727
875,1:0,1:0,,0.51
876,1:0,2:1,+,0.692
877,1:0,2:1,+,0.647
878,1:0,2:1,+,0.729
879,1:0,1:0,,0.542
880,1:0,1:0,,0.69
881,1:0,1:0,,0.518
882,1:0,1:0,,0.536
883,1:0,1:0,,0.595
884,1:0,1:0,,0.645
885,1:0,2:1,+,0.53
886,1:0,1:0,,0.539
887,1:0,1:0,,0.598
888,1:0,1:0,,0.656
889,1:0,1:0,,0.626
890,1:0,1:0,,0.555
891,1:0,1:0,,0.618
892,1:0,1:0,,0.648
893,1:0,1:0,,0.748
894,1:0,1:0,,0.589
895,1:0,1:0,,0.565
896,1:0,1:0,,0.659
897,1:0,2:1,+,0.581
898,1:0,1:0,,0.564
899,1:0,1:0,,0.54
900,1:0,1:0,,0.56
901,1:0,1:0,,0.566
902,1:0,1:0,,0.755
903,1:0,1:0,,0.562
904,1:0,1:0,,0.634
905,1:0,1:0,,0.587
906,1:0,2:1,+,0.79
907,1:0,1:0,,0.601
908,1:0,1:0,,0.522
909,1:0,1:0,,0.645
910,1:0,1:0,,0.523
911,1:0,2:1,+,0.716
912,1:0,1:0,,0.54
913,1:0,1:0,,0.58
914,1:0,1:0,,0.603
915,1:0,1:0,,0.657
916,1:0,1:0,,0.588
917,1:0,2:1,+,0.52
918,1:0,2:1,+,0.647
919,1:0,1:0,,0.644
920,1:0,2:1,+,0.64
921,1:0,2:1,+,0.673
922,1:0,2:1,+,0.521
