inst#,actual,predicted,error,prediction
244,1:0,2:1,+,1
245,1:0,2:1,+,1
246,1:0,1:0,,1
247,1:0,2:1,+,1
248,1:0,2:1,+,1
249,1:0,1:0,,1
250,1:0,2:1,+,1
251,1:0,2:1,+,0.999
252,1:0,1:0,,1
253,1:0,1:0,,1
254,1:0,2:1,+,0.691
255,1:0,1:0,,1
256,1:0,1:0,,1
257,1:0,1:0,,1
258,1:0,1:0,,1
259,1:0,1:0,,1
260,1:0,2:1,+,1
261,1:0,1:0,,1
262,1:0,1:0,,1
263,1:0,2:1,+,1
264,1:0,2:1,+,1
265,1:0,1:0,,1
266,1:0,1:0,,1
267,1:0,2:1,+,1
268,1:0,1:0,,1
269,1:0,1:0,,1
270,1:0,1:0,,1
271,1:0,1:0,,1
272,1:0,1:0,,1
273,1:0,2:1,+,0.998
274,1:0,1:0,,1
275,1:0,2:1,+,1
276,1:0,1:0,,1
277,1:0,1:0,,1
278,1:0,2:1,+,1
279,1:0,1:0,,1
280,1:0,2:1,+,1
281,1:0,2:1,+,1
282,1:0,1:0,,1
283,1:0,2:1,+,1
284,1:0,1:0,,1
285,1:0,2:1,+,0.996
286,1:0,1:0,,1
287,1:0,1:0,,1
288,1:0,1:0,,1
289,1:0,1:0,,1
290,1:0,1:0,,1
291,1:0,1:0,,1
292,1:0,1:0,,1
293,1:0,2:1,+,1
294,1:0,1:0,,1
295,1:0,2:1,+,1
296,1:0,1:0,,1
297,1:0,1:0,,1
298,1:0,2:1,+,1
299,1:0,1:0,,1
300,1:0,2:1,+,1
301,1:0,1:0,,1
302,1:0,1:0,,1
303,1:0,2:1,+,1
304,1:0,1:0,,1
305,1:0,1:0,,1
306,1:0,2:1,+,1
307,1:0,2:1,+,1
308,1:0,2:1,+,1
309,1:0,1:0,,1
310,1:0,1:0,,1
311,1:0,1:0,,1
312,1:0,1:0,,1
313,1:0,1:0,,0.807
314,1:0,2:1,+,1
315,1:0,1:0,,1
316,1:0,2:1,+,1
317,1:0,2:1,+,1
318,1:0,1:0,,1
319,1:0,1:0,,1
320,1:0,1:0,,1
321,1:0,1:0,,1
322,1:0,1:0,,1
323,1:0,1:0,,1
324,1:0,1:0,,1
325,1:0,2:1,+,0.996
326,1:0,1:0,,1
327,1:0,1:0,,0.887
328,1:0,1:0,,1
329,1:0,1:0,,1
330,1:0,2:1,+,1
331,1:0,2:1,+,1
332,1:0,1:0,,1
333,1:0,1:0,,1
334,1:0,1:0,,1
335,1:0,1:0,,1
336,1:0,1:0,,1
337,1:0,2:1,+,0.989
338,1:0,2:1,+,1
339,1:0,1:0,,1
340,1:0,2:1,+,1
341,1:0,2:1,+,1
342,1:0,1:0,,0.921
343,1:0,2:1,+,1
344,1:0,1:0,,1
345,1:0,2:1,+,1
346,1:0,1:0,,1
347,1:0,2:1,+,1
348,1:0,1:0,,1
349,1:0,1:0,,1
350,1:0,1:0,,1
351,1:0,1:0,,1
352,1:0,1:0,,1
353,1:0,1:0,,1
354,1:0,1:0,,1
355,1:0,2:1,+,1
356,1:0,1:0,,1
357,1:0,2:1,+,1
358,1:0,1:0,,1
359,1:0,2:1,+,1
360,1:0,2:1,+,1
361,1:0,2:1,+,1
362,1:0,1:0,,1
363,1:0,2:1,+,1
364,1:0,2:1,+,1
365,1:0,2:1,+,1
366,1:0,2:1,+,1
367,1:0,2:1,+,1
368,1:0,2:1,+,1
369,1:0,2:1,+,1
370,1:0,2:1,+,1
371,1:0,1:0,,1
372,1:0,2:1,+,0.942
373,1:0,1:0,,1
374,1:0,1:0,,1
375,1:0,2:1,+,1
376,1:0,1:0,,1
377,1:0,1:0,,1
378,1:0,2:1,+,1
379,1:0,2:1,+,1
380,1:0,1:0,,1
381,1:0,2:1,+,1
382,1:0,1:0,,1
383,1:0,1:0,,0.999
384,1:0,1:0,,1
385,1:0,2:1,+,1
386,1:0,1:0,,1
387,1:0,2:1,+,1
388,1:0,2:1,+,1
389,1:0,2:1,+,1
390,1:0,2:1,+,1
391,1:0,1:0,,0.727
392,1:0,1:0,,1
393,1:0,1:0,,1
394,1:0,1:0,,1
395,1:0,1:0,,1
396,1:0,1:0,,1
397,1:0,1:0,,1
398,1:0,1:0,,1
399,1:0,1:0,,1
400,1:0,2:1,+,1
401,1:0,1:0,,1
402,1:0,1:0,,1
403,1:0,2:1,+,1
404,1:0,1:0,,1
405,1:0,2:1,+,1
406,1:0,1:0,,1
407,1:0,1:0,,1
408,1:0,2:1,+,1
409,1:0,1:0,,1
410,1:0,2:1,+,1
411,1:0,1:0,,1
412,1:0,1:0,,1
413,1:0,2:1,+,1
414,1:0,1:0,,1
415,1:0,2:1,+,1
416,1:0,1:0,,1
417,1:0,1:0,,1
418,1:0,1:0,,1
419,1:0,1:0,,1
420,1:0,1:0,,1
421,1:0,1:0,,1
422,1:0,1:0,,1
423,1:0,2:1,+,1
424,1:0,1:0,,1
425,1:0,1:0,,1
426,1:0,2:1,+,1
427,1:0,1:0,,1
428,1:0,1:0,,1
429,1:0,1:0,,1
430,1:0,2:1,+,1
431,1:0,2:1,+,1
432,1:0,2:1,+,1
433,1:0,2:1,+,1
434,1:0,1:0,,1
435,1:0,2:1,+,1
436,1:0,2:1,+,0.998
437,1:0,1:0,,1
438,1:0,2:1,+,0.689
439,1:0,2:1,+,1
440,1:0,1:0,,1
441,1:0,2:1,+,0.855
442,1:0,1:0,,0.829
443,1:0,1:0,,1
444,1:0,2:1,+,0.987
445,1:0,2:1,+,1
446,1:0,2:1,+,1
447,1:0,1:0,,1
448,1:0,2:1,+,0.783
449,1:0,1:0,,1
450,1:0,2:1,+,1
451,1:0,2:1,+,1
452,1:0,1:0,,1
453,1:0,2:1,+,0.965
454,1:0,1:0,,1
455,1:0,1:0,,0.83
456,1:0,1:0,,1
457,1:0,1:0,,1
458,1:0,2:1,+,1
459,1:0,2:1,+,0.633
460,1:0,1:0,,1
461,1:0,1:0,,1
462,1:0,2:1,+,1
463,1:0,2:1,+,1
464,1:0,1:0,,1
465,1:0,1:0,,1
466,1:0,2:1,+,1
467,1:0,1:0,,1
468,1:0,2:1,+,1
469,1:0,1:0,,1
470,1:0,2:1,+,1
471,1:0,1:0,,1
472,1:0,1:0,,1
473,1:0,1:0,,1
474,1:0,2:1,+,1
475,1:0,2:1,+,1
476,1:0,2:1,+,1
477,1:0,2:1,+,1
478,1:0,2:1,+,1
479,1:0,2:1,+,0.999
480,1:0,1:0,,1
481,1:0,1:0,,0.982
482,1:0,1:0,,1
483,1:0,1:0,,0.507
484,1:0,1:0,,1
485,1:0,2:1,+,0.64
486,1:0,2:1,+,1
487,1:0,2:1,+,1
488,1:0,2:1,+,1
489,1:0,1:0,,1
490,1:0,2:1,+,1
491,1:0,1:0,,1
492,1:0,2:1,+,1
493,1:0,2:1,+,1
494,1:0,1:0,,1
495,1:0,2:1,+,1
496,1:0,1:0,,1
497,1:0,2:1,+,1
498,1:0,2:1,+,1
499,1:0,2:1,+,1
500,1:0,1:0,,1
501,1:0,1:0,,1
502,1:0,1:0,,1
503,1:0,1:0,,1
504,1:0,2:1,+,0.907
505,1:0,2:1,+,1
506,1:0,2:1,+,1
507,1:0,2:1,+,1
508,1:0,1:0,,1
509,1:0,1:0,,1
510,1:0,1:0,,1
511,1:0,1:0,,1
512,1:0,1:0,,1
513,1:0,2:1,+,1
514,1:0,1:0,,0.991
515,1:0,2:1,+,1
516,1:0,2:1,+,1
517,1:0,2:1,+,1
518,1:0,2:1,+,1
519,1:0,2:1,+,1
520,1:0,2:1,+,1
521,1:0,2:1,+,0.915
522,1:0,1:0,,1
523,1:0,2:1,+,1
524,1:0,2:1,+,1
525,1:0,2:1,+,1
526,1:0,1:0,,0.766
527,1:0,2:1,+,1
528,1:0,2:1,+,1
529,1:0,2:1,+,0.639
530,1:0,1:0,,1
531,1:0,2:1,+,1
532,1:0,2:1,+,1
533,1:0,2:1,+,1
534,1:0,2:1,+,1
535,1:0,1:0,,1
536,1:0,1:0,,1
537,1:0,1:0,,1
538,1:0,2:1,+,1
539,1:0,2:1,+,0.776
540,1:0,1:0,,1
541,1:0,1:0,,1
542,1:0,2:1,+,1
543,1:0,2:1,+,1
544,1:0,1:0,,1
545,1:0,1:0,,1
546,1:0,1:0,,1
547,1:0,1:0,,1
548,1:0,2:1,+,1
549,1:0,1:0,,1
550,1:0,1:0,,1
551,1:0,2:1,+,1
552,1:0,1:0,,1
553,1:0,2:1,+,1
554,1:0,2:1,+,1
555,1:0,1:0,,1
556,1:0,2:1,+,1
557,1:0,2:1,+,1
558,1:0,2:1,+,1
559,1:0,1:0,,0.626
560,1:0,1:0,,1
561,1:0,1:0,,1
562,1:0,2:1,+,1
563,1:0,2:1,+,1
564,1:0,1:0,,1
565,1:0,1:0,,1
566,1:0,1:0,,1
567,1:0,1:0,,1

