inst#,actual,predicted,error,prediction
131,1:0,1:0,,0.612
132,1:0,1:0,,0.553
133,1:0,1:0,,0.51
134,1:0,1:0,,0.61
135,1:0,1:0,,0.542
136,1:0,1:0,,0.592
137,1:0,1:0,,0.634
138,1:0,1:0,,0.592
139,1:0,1:0,,0.623
140,1:0,1:0,,0.585
141,1:0,1:0,,0.557
142,1:0,1:0,,0.63
143,1:0,1:0,,0.658
144,1:0,1:0,,0.612
145,1:0,1:0,,0.616
146,1:0,2:1,+,0.51
147,1:0,1:0,,0.614
148,1:0,1:0,,0.68
149,1:0,1:0,,0.614
150,1:0,1:0,,0.603
151,1:0,1:0,,0.655
152,1:0,1:0,,0.592
153,1:0,1:0,,0.547
154,1:0,1:0,,0.592
155,1:0,1:0,,0.597
156,1:0,1:0,,0.673
157,1:0,1:0,,0.59
158,1:0,1:0,,0.538
159,1:0,1:0,,0.592
160,1:0,1:0,,0.568
161,1:0,1:0,,0.63
162,1:0,2:1,+,0.579
163,1:0,1:0,,0.592
164,1:0,1:0,,0.639
165,1:0,1:0,,0.639
166,1:0,1:0,,0.658
167,1:0,1:0,,0.614
168,1:0,2:1,+,0.537
169,1:0,1:0,,0.54
170,1:0,1:0,,0.606
171,1:0,1:0,,0.608
172,1:0,1:0,,0.505
173,1:0,1:0,,0.592
174,1:0,1:0,,0.58
175,1:0,1:0,,0.614
176,1:0,1:0,,0.521
177,1:0,1:0,,0.518
178,1:0,1:0,,0.712
179,1:0,1:0,,0.592
180,1:0,1:0,,0.584
181,1:0,1:0,,0.592
182,1:0,1:0,,0.592
183,1:0,2:1,+,0.501
184,1:0,1:0,,0.615
185,1:0,1:0,,0.614
186,1:0,1:0,,0.611
187,1:0,1:0,,0.642
188,1:0,1:0,,0.582
189,1:0,1:0,,0.673
190,1:0,1:0,,0.569
191,1:0,1:0,,0.596
192,1:0,1:0,,0.596
193,1:0,1:0,,0.506
194,1:0,1:0,,0.505
195,1:0,1:0,,0.68
196,1:0,1:0,,0.592
197,1:0,1:0,,0.68
198,1:0,2:1,+,0.507
199,1:0,1:0,,0.555
200,1:0,1:0,,0.659
201,1:0,1:0,,0.688
202,1:0,1:0,,0.592
203,1:0,1:0,,0.668
204,1:0,1:0,,0.599
205,1:0,1:0,,0.614
206,1:0,1:0,,0.52
207,1:0,1:0,,0.597
208,1:0,1:0,,0.597
209,1:0,1:0,,0.592
210,1:0,1:0,,0.606
211,1:0,1:0,,0.592
212,1:0,1:0,,0.595
213,1:0,1:0,,0.601
214,1:0,1:0,,0.592
215,1:0,1:0,,0.723
216,1:0,1:0,,0.592
217,1:0,1:0,,0.636
218,1:0,1:0,,0.694
219,1:0,1:0,,0.534
220,1:0,1:0,,0.615
221,1:0,1:0,,0.566
222,1:0,1:0,,0.661
223,1:0,1:0,,0.663
224,1:0,1:0,,0.637
225,1:0,1:0,,0.61
226,1:0,1:0,,0.597
227,1:0,1:0,,0.606
228,1:0,1:0,,0.771
229,1:0,1:0,,0.665
230,1:0,1:0,,0.67
231,1:0,1:0,,0.592
232,1:0,2:1,+,0.513
233,1:0,2:1,+,0.546
234,1:0,2:1,+,0.552
235,1:0,1:0,,0.723
236,1:0,1:0,,0.646
237,1:0,2:1,+,0.531
238,1:0,2:1,+,0.507
239,1:0,1:0,,0.601
240,1:0,1:0,,0.604
241,1:0,1:0,,0.585
242,1:0,1:0,,0.592
243,1:0,2:1,+,0.556
244,1:0,1:0,,0.592
245,1:0,1:0,,0.585
246,1:0,1:0,,0.546
247,1:0,1:0,,0.617
248,1:0,1:0,,0.592
249,1:0,1:0,,0.507
250,1:0,1:0,,0.697
251,1:0,1:0,,0.62
252,1:0,1:0,,0.719
253,1:0,1:0,,0.618
254,1:0,1:0,,0.722
255,1:0,2:1,+,0.527
256,1:0,1:0,,0.648
257,1:0,1:0,,0.602
258,1:0,1:0,,0.544
259,1:0,1:0,,0.505
260,1:0,1:0,,0.592
261,1:0,1:0,,0.51
262,1:0,1:0,,0.667
263,1:0,1:0,,0.517
264,1:0,1:0,,0.592
265,1:0,1:0,,0.526
266,1:0,1:0,,0.608
267,1:0,1:0,,0.547
268,1:0,1:0,,0.673
269,1:0,1:0,,0.615
270,1:0,1:0,,0.658
271,1:0,1:0,,0.521
272,1:0,1:0,,0.61
273,1:0,1:0,,0.536
274,1:0,1:0,,0.61
275,1:0,1:0,,0.585
276,1:0,1:0,,0.686
277,1:0,2:1,+,0.509
278,1:0,2:1,+,0.535
279,1:0,1:0,,0.505
280,1:0,1:0,,0.592
281,1:0,1:0,,0.592
282,1:0,1:0,,0.667
283,1:0,1:0,,0.592
284,1:0,1:0,,0.694
285,1:0,1:0,,0.597
286,1:0,1:0,,0.663
287,1:0,1:0,,0.682
288,1:0,1:0,,0.658
289,1:0,1:0,,0.588
290,1:0,1:0,,0.606
291,1:0,1:0,,0.543
292,1:0,1:0,,0.575
293,1:0,1:0,,0.592
294,1:0,1:0,,0.614
295,1:0,1:0,,0.541
296,1:0,1:0,,0.658
297,1:0,1:0,,0.658
298,1:0,1:0,,0.592
299,1:0,1:0,,0.655
300,1:0,1:0,,0.585
301,1:0,1:0,,0.617
302,1:0,1:0,,0.601
303,1:0,1:0,,0.592
304,1:0,1:0,,0.606
305,1:0,2:1,+,0.501
306,1:0,1:0,,0.592
307,1:0,1:0,,0.514
308,1:0,1:0,,0.515
309,1:0,1:0,,0.502
310,1:0,1:0,,0.554
311,1:0,1:0,,0.658
312,1:0,1:0,,0.675
313,1:0,1:0,,0.667
314,1:0,1:0,,0.606
315,1:0,1:0,,0.51
316,1:0,1:0,,0.697
317,1:0,1:0,,0.592
318,1:0,1:0,,0.583
319,1:0,1:0,,0.614
320,1:0,1:0,,0.674
321,1:0,1:0,,0.627
322,1:0,2:1,+,0.556
323,1:0,1:0,,0.688
324,1:0,1:0,,0.615
325,1:0,1:0,,0.663
326,1:0,1:0,,0.611
327,1:0,1:0,,0.595
328,1:0,1:0,,0.564
329,1:0,1:0,,0.614
330,1:0,1:0,,0.585
331,1:0,1:0,,0.592
332,1:0,1:0,,0.614
333,1:0,1:0,,0.645
334,1:0,1:0,,0.51
335,1:0,2:1,+,0.558
336,1:0,1:0,,0.68
337,1:0,1:0,,0.593
338,1:0,1:0,,0.592
339,1:0,1:0,,0.672
340,1:0,1:0,,0.592
341,1:0,1:0,,0.515
342,1:0,1:0,,0.571
343,1:0,1:0,,0.585
344,1:0,1:0,,0.659
345,1:0,1:0,,0.66
346,1:0,1:0,,0.614
347,1:0,1:0,,0.592
348,1:0,1:0,,0.614
349,1:0,1:0,,0.67
350,1:0,1:0,,0.562
351,1:0,1:0,,0.614
352,1:0,1:0,,0.722
353,1:0,1:0,,0.548
354,1:0,1:0,,0.616
355,1:0,1:0,,0.592
356,1:0,1:0,,0.719
357,1:0,1:0,,0.592
358,1:0,1:0,,0.596
359,1:0,1:0,,0.592
360,1:0,2:1,+,0.505
361,1:0,1:0,,0.601
362,1:0,2:1,+,0.5
363,1:0,1:0,,0.592
364,1:0,1:0,,0.592
365,1:0,1:0,,0.592
366,1:0,1:0,,0.592
367,1:0,1:0,,0.592
368,1:0,1:0,,0.585
369,1:0,1:0,,0.592
370,1:0,1:0,,0.592
371,1:0,2:1,+,0.541
372,1:0,1:0,,0.61
373,1:0,1:0,,0.629
374,1:0,1:0,,0.671
375,1:0,1:0,,0.596
376,1:0,1:0,,0.697
377,1:0,1:0,,0.575
378,1:0,1:0,,0.592
379,1:0,1:0,,0.531
380,1:0,1:0,,0.618
381,1:0,1:0,,0.592
382,1:0,1:0,,0.51
383,1:0,2:1,+,0.535
384,1:0,1:0,,0.546
385,1:0,1:0,,0.592
386,1:0,1:0,,0.6
387,1:0,1:0,,0.585
388,1:0,1:0,,0.592
389,1:0,1:0,,0.602
390,1:0,1:0,,0.524
391,1:0,1:0,,0.575
392,1:0,1:0,,0.51
393,1:0,1:0,,0.559
394,1:0,1:0,,0.627
395,1:0,2:1,+,0.663
396,1:0,1:0,,0.633
397,1:0,1:0,,0.699
398,1:0,1:0,,0.722
399,1:0,1:0,,0.615
400,1:0,1:0,,0.585
401,1:0,1:0,,0.561
402,1:0,1:0,,0.675
403,1:0,1:0,,0.542
404,1:0,1:0,,0.737
405,1:0,1:0,,0.524
406,1:0,1:0,,0.599
407,1:0,1:0,,0.646
408,1:0,1:0,,0.602
409,1:0,1:0,,0.667
410,1:0,1:0,,0.598
411,1:0,1:0,,0.553
412,1:0,1:0,,0.671
413,1:0,1:0,,0.585
414,1:0,1:0,,0.569
415,1:0,1:0,,0.602
416,1:0,1:0,,0.614
417,1:0,1:0,,0.707
418,1:0,1:0,,0.701
419,1:0,1:0,,0.678
420,1:0,1:0,,0.598
421,1:0,1:0,,0.604
422,1:0,1:0,,0.511
423,1:0,1:0,,0.509
424,1:0,1:0,,0.676
425,1:0,1:0,,0.54
426,1:0,1:0,,0.592
427,1:0,1:0,,0.658
428,1:0,2:1,+,0.508
429,1:0,1:0,,0.742
430,1:0,1:0,,0.585
431,1:0,2:1,+,0.632
432,1:0,1:0,,0.592
433,1:0,1:0,,0.531
434,1:0,1:0,,0.671
435,1:0,1:0,,0.62
436,1:0,1:0,,0.536
437,1:0,2:1,+,0.524
438,1:0,1:0,,0.51
439,1:0,1:0,,0.63
440,1:0,1:0,,0.57
441,1:0,1:0,,0.5
442,1:0,1:0,,0.593
443,1:0,1:0,,0.658
444,1:0,2:1,+,0.744
445,1:0,1:0,,0.592
446,1:0,2:1,+,0.54
447,1:0,1:0,,0.534
448,1:0,1:0,,0.547
449,1:0,1:0,,0.634
450,1:0,1:0,,0.592
451,1:0,1:0,,0.592
452,1:0,1:0,,0.689
453,1:0,1:0,,0.617
454,1:0,1:0,,0.614
455,1:0,1:0,,0.58
456,1:0,2:1,+,0.539
457,1:0,1:0,,0.655
458,1:0,2:1,+,0.552
459,1:0,1:0,,0.589
460,1:0,1:0,,0.72
461,1:0,1:0,,0.568
462,1:0,1:0,,0.585
463,1:0,1:0,,0.592
464,1:0,1:0,,0.64
465,1:0,1:0,,0.61
466,1:0,1:0,,0.585
467,1:0,1:0,,0.596
468,1:0,1:0,,0.758
469,1:0,1:0,,0.564
470,1:0,2:1,+,0.61
471,1:0,1:0,,0.534
472,1:0,1:0,,0.666
473,1:0,1:0,,0.644
474,1:0,1:0,,0.592
475,1:0,1:0,,0.585
476,1:0,1:0,,0.542
477,1:0,2:1,+,0.714
478,1:0,1:0,,0.592
479,1:0,1:0,,0.634
480,1:0,1:0,,0.598
481,1:0,2:1,+,0.677
482,1:0,2:1,+,0.647
483,1:0,2:1,+,0.702
484,1:0,2:1,+,0.515
485,1:0,1:0,,0.58
486,1:0,1:0,,0.585
487,1:0,1:0,,0.592
488,1:0,1:0,,0.592
489,1:0,1:0,,0.622
490,1:0,2:1,+,0.504
491,1:0,1:0,,0.569
492,1:0,1:0,,0.592
493,1:0,1:0,,0.585
494,1:0,1:0,,0.646
495,1:0,1:0,,0.545
496,1:0,1:0,,0.645
497,1:0,1:0,,0.537
498,1:0,1:0,,0.592
499,1:0,1:0,,0.697
500,1:0,1:0,,0.642
501,1:0,1:0,,0.679
502,1:0,1:0,,0.666
503,1:0,1:0,,0.722
504,1:0,1:0,,0.641
505,1:0,1:0,,0.546
506,1:0,1:0,,0.54
507,1:0,2:1,+,0.56
508,1:0,1:0,,0.753
509,1:0,1:0,,0.594
510,1:0,1:0,,0.58
511,1:0,1:0,,0.614
512,1:0,1:0,,0.639
513,1:0,1:0,,0.592
514,1:0,1:0,,0.635
515,1:0,1:0,,0.592
516,1:0,1:0,,0.592
517,1:0,1:0,,0.562
518,1:0,1:0,,0.592
519,1:0,2:1,+,0.525
520,1:0,1:0,,0.592
521,1:0,1:0,,0.61
522,1:0,1:0,,0.638
523,1:0,1:0,,0.592
524,1:0,1:0,,0.519
525,1:0,1:0,,0.592
526,1:0,1:0,,0.568
527,1:0,1:0,,0.585
528,1:0,1:0,,0.615
529,1:0,1:0,,0.549
530,1:0,2:1,+,0.679
531,1:0,1:0,,0.585
532,1:0,1:0,,0.592
533,1:0,1:0,,0.592
534,1:0,1:0,,0.546
535,1:0,2:1,+,0.687
536,1:0,1:0,,0.634
537,1:0,1:0,,0.648
538,1:0,1:0,,0.585
539,1:0,1:0,,0.669
540,1:0,1:0,,0.577
541,1:0,1:0,,0.545
542,1:0,1:0,,0.652
543,1:0,2:1,+,0.568
544,1:0,1:0,,0.677
545,1:0,1:0,,0.672
546,1:0,2:1,+,0.515
547,1:0,1:0,,0.639
548,1:0,2:1,+,0.525
549,1:0,1:0,,0.655
550,1:0,1:0,,0.634
551,1:0,1:0,,0.592
552,1:0,1:0,,0.547
553,1:0,1:0,,0.541
554,1:0,1:0,,0.585
555,1:0,1:0,,0.614
556,1:0,1:0,,0.585
557,1:0,1:0,,0.593
558,1:0,1:0,,0.592
559,1:0,1:0,,0.625
560,1:0,1:0,,0.506
561,1:0,1:0,,0.503
562,1:0,1:0,,0.592
563,1:0,1:0,,0.692
564,1:0,1:0,,0.58
565,1:0,1:0,,0.581
566,1:0,1:0,,0.706
567,1:0,1:0,,0.644

